List ID	Displayed	Element ID	Value	Label	Description	Drivecom	File
INT	never	...	...	...	Torque increment list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctTorqueLimitation.xml
		001	0	0.01	"0,01 Nm"		
		01	1	0.1	"0,1 Nm"		
		1	2	1	1 Nm		
		10	3	10	10 Nm		

							
IPM	always	...	...	...	IP Menu		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		MANU	0	MANU			
		BOOTP	1	BOOTP			
		DHCP	2	DHCP			

							
L_H	always	...	...	...	Level choice list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppBase.xml
		LO	0	LO	Low		
		HIG	1	HIG	High		

							
LAC	always	...	...	...	list of level access		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		BAS	0	BAS			
		STD	1	STD			
		ADV	2	ADV			
		EPR	3	EPR			

							
LANG	always	...	...	...	List of language		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		LNG0	0	LNG0			
		LNG1	1	LNG1			
		LNG2	2	LNG2			
		LNG3	3	LNG3			
		LNG4	4	LNG4			
		LNG5	5	LNG5			
		LNG6	6	LNG6			
		LNG7	7	LNG7			
		LNG8	8	LNG8			
		LNG9	9	LNG9			

							
LFT	always	...	...	...	Default type list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppFaultPrj.xml
		NOF	0	NOF	No fault memorized	DRIVECOM(0x0000)	
		INF	1	INF	Incorrect calibration constants	DRIVECOM(0x6100)	
		EEF1	2	EEF1	Control Eeprom failure	DRIVECOM(0x5530)	
		CFF	3	CFF	Invalid configuration at power on	DRIVECOM(0x6300)	
		CFI	4	CFI	Incorrect parameter configuration	DRIVECOM(0x6300)	
		SLF1	5	SLF1	Modbus local serial communication fault	DRIVECOM(0x7510)	
		ILF	6	ILF	Option internal link fault	DRIVECOM(0x7520)	
		CNF	7	CNF	NET option communication fault	DRIVECOM(0x7520)	
		EPF1	8	EPF1	External fault from LI or local link	DRIVECOM(0x9000)	
		OCF	9	OCF	Over current fault	DRIVECOM(0x2310)	
		CRF1	10	CRF	Load relay fault	DRIVECOM(0x1000)	
		SPF	11	SPF	Speed encoder feedback loss	DRIVECOM(0x7310)	
		OHF	16	OHF	Drive over heating fault	DRIVECOM(0x4210)	
		OLF	17	OLF	Motor overload fault	DRIVECOM(0x1000)	
		OBF	18	OBF	Over braking fault	DRIVECOM(0x3310)	
		OSF	19	OSF	Over supply fault	DRIVECOM(0x3110)	
		OPF1	20	OPF1	Motor 1-phase loss	DRIVECOM(0x3310)	
		PHF	21	PHF	Main input 1-phase loss	DRIVECOM(0x3130)	
		USF	22	USF	Under voltage fault	DRIVECOM(0x3120)	
		SCF1	23	SCF1	Motor short circuit fault (hard detection)	DRIVECOM(0x2320)	
		SOF	24	SOF	Over speed fault	DRIVECOM(0x1000)	
		TNF	25	TNF	Tune fault	DRIVECOM(0xFF00)	
		INF1	26	INF1	Unknown drive rating	DRIVECOM(0x6100)	
		INF2	27	INF2	Unknown or incompatible power board	DRIVECOM(0x6100)	
		INF3	28	INF3	Internal serial link communication fault	DRIVECOM(0x6100)	
		INF4	29	INF4	Invalid industrialization zone	DRIVECOM(0x6100)	
		EEF2	30	EEF2	Power Eeprom failure	DRIVECOM(0x5530)	
		SCF2	31	SCF2	Impedant short-circuit fault (soft detection : sum of 3 curents > 25% InDrive)	DRIVECOM(0x2320)	
		SCF3	32	SCF3	Direct ground short-circuit fault (hard detection)	DRIVECOM(0x2330)	
		OPF2	33	OPF2	Motor 3-phases loss	DRIVECOM(0x3310)	
		COF	34	COF	CANopen communication fault	DRIVECOM(0x8100)	
		BLF	35	BLF	Brake's motor 3-phases loss	DRIVECOM(0xFF01)	
		EPF2	38	EPF2	External fault from communication board	DRIVECOM(0x9000)	
		BRF	41	BRF	Brake contactor failure	DRIVECOM(0x7110)	
		SLF2	42	SLF2	Power Suite communication fault	DRIVECOM(0x7530)	
		ECF	43	ECF	Encoder coupling failure	DRIVECOM(0x7310)	
		SSF	44	SSF	Torque current limitation fault	DRIVECOM(0xFF02)	
		SLF3	45	SLF3	Remote keypad communication fault	DRIVECOM(0x7510)	
		PRF	46	PRF	Power removal fault	DRIVECOM(0xFF03)	
		PTFL	49	PTFL	PTCL Failure (OC or SC)	DRIVECOM(0x7300)	
		OTFL	50	OTFL	Motor over heating fault from PTCL : standard product	DRIVECOM(0x4310)	
		INF9	51	INF9	Current measurement circuit failure	DRIVECOM(0x5210)	
		INFA	52	INFA	Input phase loss circuit failure	DRIVECOM(0x5210)	
		INFB	53	INFB	Thermal sensor failure (OC or SC)	DRIVECOM(0x5210)	
		TJF	54	TJF	IGBT over heating fault	DRIVECOM(0x4210)	
		SCF4	55	SCF4	IGBT short-circuit fault (hard detection)	DRIVECOM(0x2230)	
		SCF5	56	SCF5	Load short-circuit fault during Igon load sequence (hard detection)	DRIVECOM(0x2320)	
		SRF	57	SRF	Torque regulation time-out fault	DRIVECOM(0xFF02)	
		FCF1	58	FCF1	Output contactor : closed contactor	DRIVECOM(0x5000)	
		FCF2	59	FCF2	Output contactor : opened contactor	DRIVECOM(0x5000)	
		AI2F	61	AI2F	AI2 protection fault	DRIVECOM(0x7300)	
		LCF	64	LCF	Line contactor failure	DRIVECOM(0x5000)	
		DCF	66	DCF	Differential Current Fault	DRIVECOM(0x1000)	
		HDF	67	HDF	Hardware Fault	DRIVECOM(0x1000)	
		INF6	68	INF6	Unknown or incompatible option board	DRIVECOM(0x7000)	
		INFE	69	INFE	"CPU fault (ram, flash, task ...)"	DRIVECOM(0x1000)	
		LFF3	71	LFF3	AI3 4-20 mA loss fault	DRIVECOM(0x7300)	
		HCF	73	HCF	Hardware configuration fault	DRIVECOM(0x6100)	
		DLF	76	DLF	Dynamic load fault	DRIVECOM(0xFF80)	
		CFI2	77	CFI2	Configuration transfer error	DRIVECOM(0x6300)	
		CSF	99	CSF	Channel switching fault	DRIVECOM(0x1000)	
		ULF	100	ULF	Torque underload fault	DRIVECOM(0xFF03)	
		OLC	101	OLC	Torque overload fault	DRIVECOM(0x2311)	
		ASF	105	ASF	Angle Setting Fault	DRIVECOM(0x1000)	
		SAFF	107	SAFF	Safety function fault	DRIVECOM(0xFF03)	
		FBE	108	FBE	Functions blocks error	DRIVECOM(0x7400)	
		FBES	109	FBES	Functions blocks stop error	DRIVECOM(0x7400)	

							
MDT	always	...	...	...	list of files of the GFX		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		DEC	0	DEC			
		BAR	1	BAR			
		LIST	2	LIST			

							
MPC	always	...	...	...	Motor parameter choice		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntMotor.xml
		NPR	0	NPR			
		COS	1	COS			

							
N_Y	always	...	...	...	Boolean choice list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppBase.xml
		NO	0	NO	No		
		YES	1	YES	Yes		

							
NAME	always	...	...	...	Name of product		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntDrive.xml
		UNK	0	UNK	Unknown name of product		
		N3S	1	N3S	NANO3 SCHNEIDER		
		N3T	2	N3T	NANO3 TOSHIBA		
		RS3S	11	RS3S	RS3 SCHNEIDER		
		RS3T	12	RS3T	RS3 TOSHIBA		
		BOKS	21	BOKS	BOOK SCHNEIDER		

							
NCV	always	...	...	...	Drive rate list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntDrive.xml
		NO	0	NO	Unknown drive rate		
		U010	1	010	0.1 kW / 0.18 Hp		
		U018	2	018	0.18 kW / 0.25 Hp		
		U025	3	025	0.25 kW / ??? Hp		
		U037	4	037	0.37 kW / 0.5 Hp		
		U055	5	055	0.55 kW / 0.75 Hp		
		U075	6	075	0.75 kW / 1 Hp		
		U090	7	090	0.9 kW / ??? Hp		
		U110	8	U11	1.1 kW / 1.5 Hp		
		U150	9	U15	1.5 kW / 2 Hp		
		U185	10	U18	1.85 kW / ??? Hp		
		U220	11	U22	2.2 kW / 3 Hp		
		U300	12	U30	3 kW / 4 Hp		
		U370	13	U37	3.7 kW / 5 Hp		
		U400	14	U40	4 kW / ??? Hp		
		U550	15	U55	5.5 kW / 7.5 Hp		
		U750	16	U75	7.5 kW / 10 Hp		
		U900	17	U90	9 kW / ??? Hp		
		D110	18	D11	11 kW / 15 Hp		
		D150	19	D15	15 kW / 20 Hp		
		D185	20	D18	18.5 kW / 25 Hp		
		D220	21	D22	22 kW / 30 Hp		
		D300	22	D30	30 kW / 40 Hp		

							
NCVI	always	...	...	...	Internal drive rate list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntDrive.xml
		U018	0	018	0.18 kW / 0.25 Hp		
		U037	1	037	0.37 kW / 0.5 Hp		
		U055	2	055	0.55 kW / 0.75 Hp		
		U075	3	075	0.75 kW / 1 Hp		
		U110	4	U11	1.1 kW / 1.5 Hp		
		U150	5	U15	1.5 kW / 2 Hp		
		U220	6	U22	2.2 kW / 3 Hp		
		U300	7	U30	3 kW / 4 Hp		
		U400	8	U40	4 kW / ??? Hp		
		U550	9	U55	5.5 kW / 7.5 Hp		
		U750	10	U75	7.5 kW / 10 Hp		
		D110	11	D11	11 kW / 15 Hp		
		D150	12	D15	15 kW / 20 Hp		

							
NMTS	always	...	...	...	Drive NMT State		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsCanOpenParameters.xml
		BOOT	0	BOOT	Bootup		
		STOP	4	STOP	Stopped		
		OPE	5	OPE	Operational		
		POPE	127	POPE	Pre-Operational		

							
NPL	always	...	...	...	Positive / negative logical list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppBornier.xml
		POS	0	POS	Positive logical		
		NEG	1	NEG	Negative logical		

							
OBCT	always	...	...	...	Option Board Card Type list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsOptionBoardsVersion.xml
		NO	0	NO	No card		
		UNK	1	UNK	Unknown board		
		FIP	10	FIP	"FIPIO" communication board"		
		UTL	11	UTL	"UNI-TELWAY / MODBUS" communication board"		
		MBP	12	MBP	"MODBUS+" communication board"		
		ASI	13	ASI	"AS-I" communication board"		
		IBS	14	IBS	"INTERBUS-S" communication board"		
		PBS	15	PBS	"PROFIBUS DP" communication board"		
		ETH	16	ETH	"ETHERNET" communication board"		
		CAN	17	CAN	"CANopen" communication board"		
		DNT	18	DNT	"DeviceNet" communication board"		
		COND	19	COND	Communication board not defined		
		ETHIP	20	ETHIP	ETHERNET-IP communication board		
		CCL	21	CCL	CC-LINK communication board		
		PBD	22	PBD	PROFIDRIVE communication board		
		TOSH	23	TOSH	Toshline communication board		
		N2	24	N2	N2 communication board		
		ETHLC	25	ETHLC	ETHERNET-Low Cost communication board		
		MOD	26	MOD	MODEM communication board		
		GSM	27	GSM	GSM communication board		
		CNET	28	CNET	CONTROL-NET communication board		
		ETIDA	29	ETIDA	ETHERNET-IDA communication board		
		RIO	30	RIO	RemoteIO communication board		
		LONW	31	LONW	LONWORK communication board		
		EPL	34	EPL	Ethernet Power Link		
		ECAT	35	ECAT	EtherCAT		
		IOE1	51	IOE1	IOextended_1		
		IOE2	52	IOE2	IOextended_2		
		IOE3	53	IOE3	IOextended_3		
		IOE4	54	IOE4	IOextended_4		
		IOE5	55	IOE5	IOextended_5		
		IOE6	56	IOE6	IOextended_6		
		IOE7	57	IOE7	IOextended_7		
		IOE8	58	IOE8	IOextended_8		
		IOE9	59	IOE9	IOextended_9		
		PLC1	71	PLC1	PLC_1		
		PLC2	72	PLC2	PLC_2		
		PLC3	73	PLC3	PLC_3		
		PLC4	74	PLC4	PLC_4		
		PLC5	75	PLC5	PLC_5		
		PLC6	76	PLC6	PLC_6		
		PLC7	77	PLC7	PLC_7		
		PLC8	78	PLC8	PLC_8		
		PLC9	79	PLC9	PLC_9		
		APP01	101	APP01	Sodimas_1		
		APP02	102	APP02	Sodimas_2		
		APP03	103	APP03	Potain_1		
		APP04	104	APP04	Potain_2		
		APP05	105	APP05	Pompe_1		
		APP06	106	APP06	Pompe_2		
		APP07	107	APP07	KCI_1		
		APP08	108	APP08	KCI_2		
		APP09	109	APP09	Renault		
		APP10	110	APP10	Peugeot		
		APP11	111	APP11	Specific customer		
		APP12	112	APP12	Specific customer		
		APP13	113	APP13	Specific customer		
		APP14	114	APP14	Specific customer		
		APP15	115	APP15	Specific customer		
		APP16	116	APP16	Specific customer		
		APP17	117	APP17	Specific customer		
		APP18	118	APP18	Specific customer		
		APP19	119	APP19	Specific customer		
		APP20	120	APP20	Specific customer		
		APP21	121	APP21	Specific customer		
		APP22	122	APP22	Specific customer		
		APP23	123	APP23	Specific customer		
		APP24	124	APP24	Specific customer		
		APP25	125	APP25	Specific customer		
		APP26	126	APP26	Specific customer		
		APP27	127	APP27	Specific customer		
		APP28	128	APP28	Specific customer		
		APP29	129	APP29	Specific customer		
		CODC	130	CODC	CanOpen DaisyChain Option Board		
		COOS	131	COOS	CanOpen Open Style Option Board		

							
OBP	never	...	...	...	Type of option board plugged		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		NONE	0	NONE			
		COM	1	COM			
		BOTH	17	BOTH			

							
OKF	always	...	...	...	Used in test results		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		FAIL	0	FAIL			
		OK	1	OK			

							
ONOFF	always	...	...	...	Address not configured		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsModbus.xml
		OFF	0	OFF	Off		
		ON	1	ON	On		

							
OPENC	always	...	...	...	Used in test results		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		OPEN	0	OPEN			
		OK	1	OK			

							
OPL	always	...	...	...	Output (motor) phase loss assignment list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntMotor.xml
		NO	0	NO	Not configured		
		YES	1	YES	Motor phase loss detection activated		
		OAC	2	OAC	Uncontrolled downstream contactor function		

							
PRFL	always	...	...	...	PPO list list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsOption.xml
		UNCG	0	UNCG			
		1	1	1			
		100	100	100			
		101	101	101			
		102	102	102			

							
PSA	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpAnalogPorts.xml
		NO	0	NO	Not assigned		
		AI1	1	AI1	Analogical input AI1		
		AI2	2	AI2	Analogical input AI2		
		AI3	3	AI3	Analogical input AI3		
		OCR	129	OCR	Motor current		
		OFR	130	OFR	Motor speed		
		ORP	131	ORP	Ramp output		
		TRQ	132	TRQ	Motor torque		
		STQ	133	STQ	Signed motor torque		
		ORS	134	ORS	Signed ramp output		
		OPS	135	OPS	PI(D) reference		
		OPF	136	OPF	PI(D) feedback		
		OPE	137	OPE	PI(D) error		
		OPI	138	OPI	PI(D) integral		
		OPR	139	OPR	Motor power		
		THR	140	THR	Motor thermal state		
		THD	141	THD	Drive thermal state		
		TQMS	142	TQMS	Signed motor torque Master Slave		
		UPDT	160	UPDT	Up/Down function is assigned by Lix		
		UPDH	161	UPDH	Up/Down function is assigned by keypad		
		LCC	163	LCC	External keypad source		
		MDB	164	MDB	Modbus source		
		CAN	167	CAN	CANopen source		
		NET	169	NET	Communication option board source		
		OFS	173	OFS	Signed output frequency		
		THR2	174	THR2	Motor 2 thermal state		
		THR3	175	THR3	Motor 3 thermal state		
		TQL	179	TQL	Torque limitation		
		UOP	180	UOP	Motor voltage		
		PI	181	PI	Pulse input functions affectation		
		AIV1	183	AIV1	Virtual analogical input 1		
		DO1	184	DO1	Analogical/logical output DO1		
		AIV2	185	AIV2	Virtual analogical input 2		
		OA01	240	OA01	Functions blocks : Analog Output 01		
		OA02	241	OA02	Functions blocks : Analog Output 02		
		OA03	242	OA03	Functions blocks : Analog Output 03		
		OA04	243	OA04	Functions blocks : Analog Output 04		
		OA05	244	OA05	Functions blocks : Analog Output 05		
		OA06	245	OA06	Functions blocks : Analog Output 06		
		OA07	246	OA07	Functions blocks : Analog Output 07		
		OA08	247	OA08	Functions blocks : Analog Output 08		
		OA09	248	OA09	Functions blocks : Analog Output 09		
		OA10	249	OA10	Functions blocks : Analog Output 10		

							
PSL	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpLogicPorts.xml
		NO	0	NO	Not assigned		
		FLT	1	FLT	Drive fault		
		RUN	2	RUN	Drive running		
		OCC	3	OCC	Downstreamcontactor running		
		FTA	4	FTA	Motor frequency threshold (FTD) reached		
		FLA	5	FLA	High speed (HSP) reached		
		CTA	6	CTA	Motor current threshold (CTD) reached		
		SRA	7	SRA	Frequency reference reached		
		TSA	8	TSA	Motor thermal threshold (TTD) reached		
		BLC	9	BLC	Braking sequence		
		PEE	10	PEE	PID error		
		PFA	11	PFA	PID feedback alarm		
		F2A	13	F2A	Second frequency threshold (F2D) reached		
		TAD	14	TAD	Drive thermal threshold reached		
		ULA	21	ULA	Undeload alarm		
		OLA	22	OLA	Overload alarm		
		RSDA	27	RSDA	Cable detendu		
		TTHA	28	TTHA	High torque threshold		
		TTLA	29	TTLA	Low torque threshold		
		MFRD	30	MFRD	Run forward		
		MRRS	31	MRRS	Run reverse		
		TS2	37	TS2	Motor 2 thermal threshold (TTD2) reached		
		TS3	38	TS3	Motor 3 thermal threshold (TTD3) reached		
		ATS	47	ATS	Actual torque sign		
		CNF0	48	CNF0	Configuration 0 active		
		CNF1	49	CNF1	Configuration 1 active		
		CNF2	50	CNF2	Configuration 2 active		
		CFP1	52	CFP1	Parameter set 1 active		
		CFP2	53	CFP2	Parameter set 2 active		
		CFP3	54	CFP3	Parameter set 3 active		
		DBL	64	DBL	DC bus loaded		
		BRS	65	BRS	Braking activated		
		PRM	66	PRM	Power removed		
		FQLA	72	FQLA	Frequency Level reached		
		LLC	73	LLC	Line contactor activated		
		MCP	77	MCP	Motor current present		
		LSA	78	LSA	Limit switch function activated		
		DLDA	79	DLDA	Detection de variation de charge		
		AG1	80	AG1	Alarm Group 1		
		AG2	81	AG2	Alarm Group 2		
		AG3	82	AG3	Alarm Group 3		
		PLA	85	PLA	PTCL Alarm		
		EFA	87	EFA	External fault alarm		
		USA	88	USA	Undervoltage alarm		
		UPA	89	UPA	Undervoltage prevention alarm		
		THA	91	THA	Transistor heating alarm		
		SSA	95	SSA	Torque current limitation alarm		
		FR1	96	FR1	Reference channel = channel 1 (for RFC)		
		FR2	97	FR2	Reference channel = channel 2 (for RFC)		
		CD1	98	CD1	Command channel = channel 1 (for CCS)		
		CD2	99	CD2	Command channel = channel 2 (for CCS)		
		FR1B	100	FR1B	Reference channel = channel 1B (for RFC)		
		EBO	101	EBO	End of bobbin		
		TSY	102	TSY	Traverse control synchronization counter wobble		
		TJA	104	TJA	Thermal junction alarm		
		AP3	107	AP3	AI3 4-20 mA loss alarm		
		FN1	116	FN1	Function key 1		
		FN2	117	FN2	Function key 2		
		FN3	118	FN3	Function key 3		
		FN4	119	FN4	Function key 4		
		RDY	127	RDY	Ready to start		
		YES	128	YES	Yes		
		LI1	129	LI1	Logical input LI1		
		LI2	130	LI2	Logical input LI2		
		LI3	131	LI3	Logical input LI3		
		LI4	132	LI4	Logical input LI4		
		LI5	133	LI5	Logical input LI5		
		LI6	134	LI6	Logical input LI6		
		LAI1	143	LAI1	Logical input AI1		
		LAI2	144	LAI2	Logical input AI2		
		CD00	160	CD00	Virtual logical input CMD.0		
		CD01	161	CD01	Virtual logical input CMD.1		
		CD02	162	CD02	Virtual logical input CMD.2		
		CD03	163	CD03	Virtual logical input CMD.3		
		CD04	164	CD04	Virtual logical input CMD.4		
		CD05	165	CD05	Virtual logical input CMD.5		
		CD06	166	CD06	Virtual logical input CMD.6		
		CD07	167	CD07	Virtual logical input CMD.7		
		CD08	168	CD08	Virtual logical input CMD.8		
		CD09	169	CD09	Virtual logical input CMD.9		
		CD10	170	CD10	Virtual logical input CMD.10		
		CD11	171	CD11	Virtual logical input CMD.11		
		CD12	172	CD12	Virtual logical input CMD.12		
		CD13	173	CD13	Virtual logical input CMD.13		
		CD14	174	CD14	Virtual logical input CMD.14		
		CD15	175	CD15	Virtual logical input CMD.15		
		C100	176	C100	Virtual logical input CMD1.0		
		C101	177	C101	Virtual logical input CMD1.1		
		C102	178	C102	Virtual logical input CMD1.2		
		C103	179	C103	Virtual logical input CMD1.3		
		C104	180	C104	Virtual logical input CMD1.4		
		C105	181	C105	Virtual logical input CMD1.5		
		C106	182	C106	Virtual logical input CMD1.6		
		C107	183	C107	Virtual logical input CMD1.7		
		C108	184	C108	Virtual logical input CMD1.8		
		C109	185	C109	Virtual logical input CMD1.9		
		C110	186	C110	Virtual logical input CMD1.10		
		C111	187	C111	Virtual logical input CMD1.11		
		C112	188	C112	Virtual logical input CMD1.12		
		C113	189	C113	Virtual logical input CMD1.13		
		C114	190	C114	Virtual logical input CMD1.14		
		C115	191	C115	Virtual logical input CMD1.15		
		C200	192	C200	Virtual logical input CMD2.0		
		C201	193	C201	Virtual logical input CMD2.1		
		C202	194	C202	Virtual logical input CMD2.2		
		C203	195	C203	Virtual logical input CMD2.3		
		C204	196	C204	Virtual logical input CMD2.4		
		C205	197	C205	Virtual logical input CMD2.5		
		C206	198	C206	Virtual logical input CMD2.6		
		C207	199	C207	Virtual logical input CMD2.7		
		C208	200	C208	Virtual logical input CMD2.8		
		C209	201	C209	Virtual logical input CMD2.9		
		C210	202	C210	Virtual logical input CMD2.10		
		C211	203	C211	Virtual logical input CMD2.11		
		C212	204	C212	Virtual logical input CMD2.12		
		C213	205	C213	Virtual logical input CMD2.13		
		C214	206	C214	Virtual logical input CMD2.14		
		C215	207	C215	Virtual logical input CMD2.15		
		C300	208	C300	Virtual logical input CMD3.0		
		C301	209	C301	Virtual logical input CMD3.1		
		C302	210	C302	Virtual logical input CMD3.2		
		C303	211	C303	Virtual logical input CMD3.3		
		C304	212	C304	Virtual logical input CMD3.4		
		C305	213	C305	Virtual logical input CMD3.5		
		C306	214	C306	Virtual logical input CMD3.6		
		C307	215	C307	Virtual logical input CMD3.7		
		C308	216	C308	Virtual logical input CMD3.8		
		C309	217	C309	Virtual logical input CMD3.9		
		C310	218	C310	Virtual logical input CMD3.10		
		C311	219	C311	Virtual logical input CMD3.11		
		C312	220	C312	Virtual logical input CMD3.12		
		C313	221	C313	Virtual logical input CMD3.13		
		C314	222	C314	Virtual logical input CMD3.14		
		C315	223	C315	Virtual logical input CMD3.15		
		OL01	240	OL01	Functions blocks : Logical Output 01		
		OL02	241	OL02	Functions blocks : Logical Output 02		
		OL03	242	OL03	Functions blocks : Logical Output 03		
		OL04	243	OL04	Functions blocks : Logical Output 04		
		OL05	244	OL05	Functions blocks : Logical Output 05		
		OL06	245	OL06	Functions blocks : Logical Output 06		
		OL07	246	OL07	Functions blocks : Logical Output 07		
		OL08	247	OL08	Functions blocks : Logical Output 08		
		OL09	248	OL09	Functions blocks : Logical Output 09		
		OL10	249	OL10	Functions blocks : Logical Output 10		

							
PSLIN	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpLogicPorts.xml
		NO	0	NO	Not assigned		
		FLT	1	FLT	Drive fault		
		FTA	4	FTA	Motor frequency threshold (FTD) reached		
		F2A	13	F2A	Second frequency threshold (F2D) reached		
		FR1	96	FR1	Reference channel = channel 1 (for RFC)		
		FR2	97	FR2	Reference channel = channel 2 (for RFC)		
		CD1	98	CD1	Command channel = channel 1 (for CCS)		
		CD2	99	CD2	Command channel = channel 2 (for CCS)		
		FR1B	100	FR1B	Reference channel = channel 1B (for RFC)		
		YES	128	YES	Yes		
		LI1	129	LI1	Logical input LI1		
		LI2	130	LI2	Logical input LI2		
		LI3	131	LI3	Logical input LI3		
		LI4	132	LI4	Logical input LI4		
		LI5	133	LI5	Logical input LI5		
		LI6	134	LI6	Logical input LI6		
		LAI1	143	LAI1	Logical input AI1		
		LAI2	144	LAI2	Logical input AI2		
		CD00	160	CD00	Virtual logical input CMD.0		
		CD01	161	CD01	Virtual logical input CMD.1		
		CD02	162	CD02	Virtual logical input CMD.2		
		CD03	163	CD03	Virtual logical input CMD.3		
		CD04	164	CD04	Virtual logical input CMD.4		
		CD05	165	CD05	Virtual logical input CMD.5		
		CD06	166	CD06	Virtual logical input CMD.6		
		CD07	167	CD07	Virtual logical input CMD.7		
		CD08	168	CD08	Virtual logical input CMD.8		
		CD09	169	CD09	Virtual logical input CMD.9		
		CD10	170	CD10	Virtual logical input CMD.10		
		CD11	171	CD11	Virtual logical input CMD.11		
		CD12	172	CD12	Virtual logical input CMD.12		
		CD13	173	CD13	Virtual logical input CMD.13		
		CD14	174	CD14	Virtual logical input CMD.14		
		CD15	175	CD15	Virtual logical input CMD.15		
		C101	177	C101	Virtual logical input CMD1.1		
		C102	178	C102	Virtual logical input CMD1.2		
		C103	179	C103	Virtual logical input CMD1.3		
		C104	180	C104	Virtual logical input CMD1.4		
		C105	181	C105	Virtual logical input CMD1.5		
		C106	182	C106	Virtual logical input CMD1.6		
		C107	183	C107	Virtual logical input CMD1.7		
		C108	184	C108	Virtual logical input CMD1.8		
		C109	185	C109	Virtual logical input CMD1.9		
		C110	186	C110	Virtual logical input CMD1.10		
		C111	187	C111	Virtual logical input CMD1.11		
		C112	188	C112	Virtual logical input CMD1.12		
		C113	189	C113	Virtual logical input CMD1.13		
		C114	190	C114	Virtual logical input CMD1.14		
		C115	191	C115	Virtual logical input CMD1.15		
		C201	193	C201	Virtual logical input CMD2.1		
		C202	194	C202	Virtual logical input CMD2.2		
		C203	195	C203	Virtual logical input CMD2.3		
		C204	196	C204	Virtual logical input CMD2.4		
		C205	197	C205	Virtual logical input CMD2.5		
		C206	198	C206	Virtual logical input CMD2.6		
		C207	199	C207	Virtual logical input CMD2.7		
		C208	200	C208	Virtual logical input CMD2.8		
		C209	201	C209	Virtual logical input CMD2.9		
		C210	202	C210	Virtual logical input CMD2.10		
		C211	203	C211	Virtual logical input CMD2.11		
		C212	204	C212	Virtual logical input CMD2.12		
		C213	205	C213	Virtual logical input CMD2.13		
		C214	206	C214	Virtual logical input CMD2.14		
		C215	207	C215	Virtual logical input CMD2.15		
		C301	209	C301	Virtual logical input CMD3.1		
		C302	210	C302	Virtual logical input CMD3.2		
		C303	211	C303	Virtual logical input CMD3.3		
		C304	212	C304	Virtual logical input CMD3.4		
		C305	213	C305	Virtual logical input CMD3.5		
		C306	214	C306	Virtual logical input CMD3.6		
